parts,x_coords,y_coords,z_coords,labels
LEFT_KNEE,0.5104430317878723,0.37568336725234985,-0.04076428338885307,CALF RAISE HOLD
RIGHT_KNEE,0.44896119832992554,0.3935614228248596,-0.05399549752473831,CALF RAISE HOLD
LEFT_ANKLE,0.5192714333534241,0.5751851797103882,0.05064832419157028,CALF RAISE HOLD
RIGHT_ANKLE,0.44470709562301636,0.5806246995925903,0.03656443580985069,CALF RAISE HOLD
LEFT_HEEL,0.5164940357208252,0.5995718240737915,0.05291365459561348,CALF RAISE HOLD
RIGHT_HEEL,0.44935765862464905,0.6072748899459839,0.03919985517859459,CALF RAISE HOLD
LEFT_KNEE,0.5129838585853577,0.3807816803455353,-0.03981572017073631,CALF RAISE HOLD
RIGHT_KNEE,0.4490230977535248,0.3935193419456482,-0.07039293646812439,CALF RAISE HOLD
LEFT_ANKLE,0.5194408297538757,0.5793972611427307,0.1025025025010109,CALF RAISE HOLD
RIGHT_ANKLE,0.4443184435367584,0.5825812816619873,0.06906519085168839,CALF RAISE HOLD
LEFT_HEEL,0.5165029764175415,0.6073017716407776,0.10778733342885971,CALF RAISE HOLD
RIGHT_HEEL,0.4456074833869934,0.6109042763710022,0.07497508823871613,CALF RAISE HOLD
LEFT_KNEE,0.5129033327102661,0.38169458508491516,-0.039414603263139725,CALF RAISE HOLD
RIGHT_KNEE,0.44915294647216797,0.39070379734039307,-0.06619622558355331,CALF RAISE HOLD
LEFT_ANKLE,0.5190846920013428,0.5812202095985413,0.11370933055877686,CALF RAISE HOLD
RIGHT_ANKLE,0.4430301785469055,0.5829914808273315,0.09907403588294983,CALF RAISE HOLD
LEFT_HEEL,0.5157201290130615,0.6086037158966064,0.1195812001824379,CALF RAISE HOLD
RIGHT_HEEL,0.4414919912815094,0.6114034652709961,0.1062047928571701,CALF RAISE HOLD
LEFT_KNEE,0.5137057900428772,0.3839188516139984,-0.040216587483882904,CALF RAISE HOLD
RIGHT_KNEE,0.449472576379776,0.39074915647506714,-0.07455416023731232,CALF RAISE HOLD
LEFT_ANKLE,0.5190824270248413,0.5836971998214722,0.09517797827720642,CALF RAISE HOLD
RIGHT_ANKLE,0.4437476098537445,0.5866450071334839,0.07610734552145004,CALF RAISE HOLD
LEFT_HEEL,0.5155726671218872,0.6120761632919312,0.09975048899650574,CALF RAISE HOLD
RIGHT_HEEL,0.44228261709213257,0.6162532567977905,0.08118177950382233,CALF RAISE HOLD
LEFT_KNEE,0.5136224031448364,0.3874777555465698,-0.03706108406186104,CALF RAISE HOLD
RIGHT_KNEE,0.44908037781715393,0.3917289674282074,-0.07230348885059357,CALF RAISE HOLD
LEFT_ANKLE,0.5188895463943481,0.5860486030578613,0.12829260528087616,CALF RAISE HOLD
